-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
32.75,-124.25,2017,001,   14.18
32.75,-123.75,2017,001,   14.01
32.75,-123.25,2017,001,   13.87
32.75,-122.75,2017,001,   13.76
32.75,-122.25,2017,001,   13.61
32.75,-121.75,2017,001,   13.43
32.75,-121.25,2017,001,   13.26
32.75,-120.75,2017,001,   13.27
32.75,-120.25,2017,001,   13.31
32.75,-119.75,2017,001,   13.33
33.25,-124.25,2017,001,   14.16
33.25,-123.75,2017,001,   13.92
33.25,-123.25,2017,001,   13.66
33.25,-122.75,2017,001,   13.49
33.25,-122.25,2017,001,   13.34
33.25,-121.75,2017,001,   13.17
33.25,-121.25,2017,001,   13.02
33.25,-120.75,2017,001,   12.96
33.25,-120.25,2017,001,   12.92
33.25,-119.75,2017,001,   12.95
33.75,-124.25,2017,001,   14.06
33.75,-123.75,2017,001,   13.82
33.75,-123.25,2017,001,   13.49
33.75,-122.75,2017,001,   13.26
33.75,-122.25,2017,001,   13.07
33.75,-121.75,2017,001,   12.90
33.75,-121.25,2017,001,   12.77
33.75,-120.75,2017,001,   12.60
33.75,-120.25,2017,001,   12.40
33.75,-119.75,2017,001,   12.46
34.25,-124.25,2017,001,   13.80
34.25,-123.75,2017,001,   13.64
34.25,-123.25,2017,001,   13.35
34.25,-122.75,2017,001,   13.08
34.25,-122.25,2017,001,   12.84
34.25,-121.75,2017,001,   12.64
34.25,-121.25,2017,001,   12.53
34.25,-120.75,2017,001,   11.82
34.25,-120.25,2017,001,   10.86
34.25,-119.75,2017,001,    9.93
34.75,-124.25,2017,001,   13.52
34.75,-123.75,2017,001,   13.44
34.75,-123.25,2017,001,   13.17
34.75,-122.75,2017,001,   12.90
34.75,-122.25,2017,001,   12.64
34.75,-121.75,2017,001,   12.40
34.75,-121.25,2017,001,   12.17
34.75,-120.75,2017,001,   10.40
34.75,-120.25,2017,001,    8.22
34.75,-119.75,2017,001,    6.40
35.25,-124.25,2017,001,   13.31
35.25,-123.75,2017,001,   13.26
35.25,-123.25,2017,001,   12.96
35.25,-122.75,2017,001,   12.69
35.25,-122.25,2017,001,   12.42
35.25,-121.75,2017,001,   12.01
35.25,-121.25,2017,001,   11.15
35.25,-120.75,2017,001,    8.49
35.25,-120.25,2017,001,    6.53
35.25,-119.75,2017,001,    5.63
35.75,-124.25,2017,001,   13.00
35.75,-123.75,2017,001,   12.95
35.75,-123.25,2017,001,   12.72
35.75,-122.75,2017,001,   12.45
35.75,-122.25,2017,001,   11.91
35.75,-121.75,2017,001,   10.68
35.75,-121.25,2017,001,    8.15
35.75,-120.75,2017,001,    6.26
35.75,-120.25,2017,001,    6.00
35.75,-119.75,2017,001,    6.16
36.25,-124.25,2017,001,   12.50
36.25,-123.75,2017,001,   12.46
36.25,-123.25,2017,001,   12.37
36.25,-122.75,2017,001,   12.13
36.25,-122.25,2017,001,   11.11
36.25,-121.75,2017,001,    8.87
36.25,-121.25,2017,001,    5.15
36.25,-120.75,2017,001,    4.92
36.25,-120.25,2017,001,    5.59
36.25,-119.75,2017,001,    5.84
36.75,-124.25,2017,001,   11.93
36.75,-123.75,2017,001,   11.94
36.75,-123.25,2017,001,   11.88
36.75,-122.75,2017,001,   11.45
36.75,-122.25,2017,001,    9.83
36.75,-121.75,2017,001,    7.19
36.75,-121.25,2017,001,    4.70
36.75,-120.75,2017,001,    5.15
36.75,-120.25,2017,001,    5.45
36.75,-119.75,2017,001,    4.71
37.25,-124.25,2017,001,   11.46
37.25,-123.75,2017,001,   11.47
37.25,-123.25,2017,001,   11.30
37.25,-122.75,2017,001,   10.36
37.25,-122.25,2017,001,    8.23
37.25,-121.75,2017,001,    5.77
37.25,-121.25,2017,001,    5.12
37.25,-120.75,2017,001,    5.46
37.25,-120.25,2017,001,    4.91
37.25,-119.75,2017,001,    1.90
32.75,-124.25,2017,002,   13.78
32.75,-123.75,2017,002,   13.47
32.75,-123.25,2017,002,   13.37
32.75,-122.75,2017,002,   13.30
32.75,-122.25,2017,002,   13.27
32.75,-121.75,2017,002,   13.24
32.75,-121.25,2017,002,   13.17
32.75,-120.75,2017,002,   13.14
32.75,-120.25,2017,002,   13.21
32.75,-119.75,2017,002,   13.30
33.25,-124.25,2017,002,   13.50
33.25,-123.75,2017,002,   13.23
33.25,-123.25,2017,002,   13.07
33.25,-122.75,2017,002,   12.99
33.25,-122.25,2017,002,   12.92
33.25,-121.75,2017,002,   12.81
33.25,-121.25,2017,002,   12.66
33.25,-120.75,2017,002,   12.53
33.25,-120.25,2017,002,   12.54
33.25,-119.75,2017,002,   12.66
33.75,-124.25,2017,002,   13.33
33.75,-123.75,2017,002,   13.16
33.75,-123.25,2017,002,   12.93
33.75,-122.75,2017,002,   12.79
33.75,-122.25,2017,002,   12.66
33.75,-121.75,2017,002,   12.49
33.75,-121.25,2017,002,   12.26
33.75,-120.75,2017,002,   12.00
33.75,-120.25,2017,002,   11.83
33.75,-119.75,2017,002,   11.93
34.25,-124.25,2017,002,   13.06
34.25,-123.75,2017,002,   12.97
34.25,-123.25,2017,002,   12.77
34.25,-122.75,2017,002,   12.59
34.25,-122.25,2017,002,   12.39
34.25,-121.75,2017,002,   12.16
34.25,-121.25,2017,002,   11.91
34.25,-120.75,2017,002,   11.17
34.25,-120.25,2017,002,   10.23
34.25,-119.75,2017,002,    9.27
