-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
32.75,-119.75,2017,001,   13.33
32.75,-119.25,2017,001,   13.35
32.75,-118.75,2017,001,   13.43
32.75,-118.25,2017,001,   13.47
32.75,-117.75,2017,001,   13.10
32.75,-117.25,2017,001,   11.05
32.75,-116.75,2017,001,    8.04
32.75,-116.25,2017,001,    6.86
32.75,-115.75,2017,001,   10.35
32.75,-115.25,2017,001,   11.35
33.25,-119.75,2017,001,   12.95
33.25,-119.25,2017,001,   13.04
33.25,-118.75,2017,001,   13.14
33.25,-118.25,2017,001,   12.72
33.25,-117.75,2017,001,   11.76
33.25,-117.25,2017,001,    9.20
33.25,-116.75,2017,001,    6.54
33.25,-116.25,2017,001,    7.90
33.25,-115.75,2017,001,    9.85
33.25,-115.25,2017,001,   10.43
33.75,-119.75,2017,001,   12.46
33.75,-119.25,2017,001,   12.51
33.75,-118.75,2017,001,   11.68
33.75,-118.25,2017,001,   10.49
33.75,-117.75,2017,001,    9.18
33.75,-117.25,2017,001,    7.09
33.75,-116.75,2017,001,    5.34
33.75,-116.25,2017,001,    6.80
33.75,-115.75,2017,001,    8.31
33.75,-115.25,2017,001,    9.46
34.25,-119.75,2017,001,    9.93
34.25,-119.25,2017,001,    9.08
34.25,-118.75,2017,001,    8.05
34.25,-118.25,2017,001,    7.08
34.25,-117.75,2017,001,    6.18
34.25,-117.25,2017,001,    5.28
34.25,-116.75,2017,001,    4.89
34.25,-116.25,2017,001,    6.11
34.25,-115.75,2017,001,    8.19
34.25,-115.25,2017,001,    9.02
34.75,-119.75,2017,001,    6.40
34.75,-119.25,2017,001,    5.18
34.75,-118.75,2017,001,    4.21
34.75,-118.25,2017,001,    4.11
34.75,-117.75,2017,001,    4.34
34.75,-117.25,2017,001,    4.61
34.75,-116.75,2017,001,    5.21
34.75,-116.25,2017,001,    7.01
34.75,-115.75,2017,001,    7.41
34.75,-115.25,2017,001,    7.84
35.25,-119.75,2017,001,    5.63
35.25,-119.25,2017,001,    4.93
35.25,-118.75,2017,001,    2.34
35.25,-118.25,2017,001,    1.71
35.25,-117.75,2017,001,    3.34
35.25,-117.25,2017,001,    4.95
35.25,-116.75,2017,001,    5.98
35.25,-116.25,2017,001,    7.53
35.25,-115.75,2017,001,    5.97
35.25,-115.25,2017,001,    6.37
35.75,-119.75,2017,001,    6.16
35.75,-119.25,2017,001,    5.23
35.75,-118.75,2017,001,    1.38
35.75,-118.25,2017,001,   -0.11
35.75,-117.75,2017,001,    2.22
35.75,-117.25,2017,001,    4.85
35.75,-116.75,2017,001,    6.31
35.75,-116.25,2017,001,    7.19
35.75,-115.75,2017,001,    5.22
35.75,-115.25,2017,001,    6.14
36.25,-119.75,2017,001,    5.84
36.25,-119.25,2017,001,    4.40
36.25,-118.75,2017,001,    0.04
36.25,-118.25,2017,001,   -1.53
36.25,-117.75,2017,001,    1.66
36.25,-117.25,2017,001,    4.88
36.25,-116.75,2017,001,    6.08
36.25,-116.25,2017,001,    5.86
36.25,-115.75,2017,001,    3.75
36.25,-115.25,2017,001,    5.05
36.75,-119.75,2017,001,    4.71
36.75,-119.25,2017,001,    1.89
36.75,-118.75,2017,001,   -4.20
36.75,-118.25,2017,001,   -2.72
36.75,-117.75,2017,001,    1.29
36.75,-117.25,2017,001,    3.92
36.75,-116.75,2017,001,    4.03
36.75,-116.25,2017,001,    3.25
36.75,-115.75,2017,001,    2.37
36.75,-115.25,2017,001,    3.32
37.25,-119.75,2017,001,    1.90
37.25,-119.25,2017,001,   -3.26
37.25,-118.75,2017,001,   -8.34
37.25,-118.25,2017,001,   -2.91
37.25,-117.75,2017,001,    0.51
37.25,-117.25,2017,001,    1.77
37.25,-116.75,2017,001,    1.45
37.25,-116.25,2017,001,    0.86
37.25,-115.75,2017,001,    0.94
37.25,-115.25,2017,001,    1.74
32.75,-119.75,2017,002,   13.30
32.75,-119.25,2017,002,   13.39
32.75,-118.75,2017,002,   13.51
32.75,-118.25,2017,002,   13.59
32.75,-117.75,2017,002,   13.44
32.75,-117.25,2017,002,   11.86
32.75,-116.75,2017,002,    9.33
32.75,-116.25,2017,002,    8.02
32.75,-115.75,2017,002,   10.99
32.75,-115.25,2017,002,   11.05
33.25,-119.75,2017,002,   12.66
33.25,-119.25,2017,002,   12.84
33.25,-118.75,2017,002,   13.06
33.25,-118.25,2017,002,   12.86
33.25,-117.75,2017,002,   12.19
33.25,-117.25,2017,002,   10.13
33.25,-116.75,2017,002,    7.92
33.25,-116.25,2017,002,    8.90
33.25,-115.75,2017,002,   10.32
33.25,-115.25,2017,002,   10.23
33.75,-119.75,2017,002,   11.93
33.75,-119.25,2017,002,   12.08
33.75,-118.75,2017,002,   11.65
33.75,-118.25,2017,002,   10.87
33.75,-117.75,2017,002,    9.75
33.75,-117.25,2017,002,    7.86
33.75,-116.75,2017,002,    6.18
33.75,-116.25,2017,002,    7.06
33.75,-115.75,2017,002,    8.14
33.75,-115.25,2017,002,    8.86
34.25,-119.75,2017,002,    9.27
34.25,-119.25,2017,002,    8.50
34.25,-118.75,2017,002,    8.07
34.25,-118.25,2017,002,    7.52
34.25,-117.75,2017,002,    6.69
34.25,-117.25,2017,002,    5.71
34.25,-116.75,2017,002,    5.08
34.25,-116.25,2017,002,    5.65
34.25,-115.75,2017,002,    7.17
34.25,-115.25,2017,002,    7.69
34.75,-119.75,2017,002,    5.73
34.75,-119.25,2017,002,    4.79
34.75,-118.75,2017,002,    4.91
34.75,-118.25,2017,002,    4.78
34.75,-117.75,2017,002,    4.95
34.75,-117.25,2017,002,    5.07
34.75,-116.75,2017,002,    5.33
34.75,-116.25,2017,002,    6.41
34.75,-115.75,2017,002,    5.80
34.75,-115.25,2017,002,    5.93
35.25,-119.75,2017,002,    5.43
35.25,-119.25,2017,002,    5.51
35.25,-118.75,2017,002,    3.90
35.25,-118.25,2017,002,    2.44
35.25,-117.75,2017,002,    3.67
35.25,-117.25,2017,002,    5.16
35.25,-116.75,2017,002,    6.01
35.25,-116.25,2017,002,    6.84
35.25,-115.75,2017,002,    4.61
35.25,-115.25,2017,002,    4.57
35.75,-119.75,2017,002,    6.53
35.75,-119.25,2017,002,    6.33
35.75,-118.75,2017,002,    2.09
35.75,-118.25,2017,002,   -0.75
35.75,-117.75,2017,002,    1.18
35.75,-117.25,2017,002,    3.96
35.75,-116.75,2017,002,    5.64
35.75,-116.25,2017,002,    6.27
35.75,-115.75,2017,002,    4.56
35.75,-115.25,2017,002,    5.14
36.25,-119.75,2017,002,    6.56
36.25,-119.25,2017,002,    5.13
36.25,-118.75,2017,002,   -1.62
36.25,-118.25,2017,002,   -3.70
36.25,-117.75,2017,002,   -0.44
36.25,-117.25,2017,002,    3.05
36.25,-116.75,2017,002,    4.57
36.25,-116.25,2017,002,    4.79
36.25,-115.75,2017,002,    3.14
36.25,-115.25,2017,002,    4.26
36.75,-119.75,2017,002,    5.10
36.75,-119.25,2017,002,    1.54
36.75,-118.75,2017,002,   -6.97
36.75,-118.25,2017,002,   -5.16
36.75,-117.75,2017,002,   -0.69
36.75,-117.25,2017,002,    2.13
36.75,-116.75,2017,002,    2.30
36.75,-116.25,2017,002,    2.11
36.75,-115.75,2017,002,    1.49
36.75,-115.25,2017,002,    2.06
37.25,-119.75,2017,002,    0.72
37.25,-119.25,2017,002,   -5.26
37.25,-118.75,2017,002,  -10.57
37.25,-118.25,2017,002,   -5.11
37.25,-117.75,2017,002,   -1.05
37.25,-117.25,2017,002,    0.43
37.25,-116.75,2017,002,   -0.14
37.25,-116.25,2017,002,   -0.52
37.25,-115.75,2017,002,    0.00
37.25,-115.25,2017,002,    0.64
32.75,-119.75,2017,003,   14.79
32.75,-119.25,2017,003,   14.67
32.75,-118.75,2017,003,   14.60
32.75,-118.25,2017,003,   14.47
32.75,-117.75,2017,003,   14.06
32.75,-117.25,2017,003,   12.56
32.75,-116.75,2017,003,   10.40
32.75,-116.25,2017,003,    9.25
32.75,-115.75,2017,003,   11.52
32.75,-115.25,2017,003,   11.95
33.25,-119.75,2017,003,   14.37
33.25,-119.25,2017,003,   14.38
33.25,-118.75,2017,003,   14.36
33.25,-118.25,2017,003,   13.98
33.25,-117.75,2017,003,   13.06
33.25,-117.25,2017,003,   10.96
33.25,-116.75,2017,003,    8.84
33.25,-116.25,2017,003,    9.63
33.25,-115.75,2017,003,   11.06
33.25,-115.25,2017,003,   11.13
33.75,-119.75,2017,003,   13.66
33.75,-119.25,2017,003,   13.65
33.75,-118.75,2017,003,   12.97
33.75,-118.25,2017,003,   11.92
33.75,-117.75,2017,003,   10.66
33.75,-117.25,2017,003,    8.81
33.75,-116.75,2017,003,    7.19
33.75,-116.25,2017,003,    7.86
33.75,-115.75,2017,003,    9.11
33.75,-115.25,2017,003,    9.87
34.25,-119.75,2017,003,   10.97
34.25,-119.25,2017,003,    9.86
34.25,-118.75,2017,003,    9.05
34.25,-118.25,2017,003,    8.26
34.25,-117.75,2017,003,    7.36
34.25,-117.25,2017,003,    6.44
34.25,-116.75,2017,003,    5.89
34.25,-116.25,2017,003,    6.43
34.25,-115.75,2017,003,    7.91
34.25,-115.25,2017,003,    8.64
34.75,-119.75,2017,003,    7.60
34.75,-119.25,2017,003,    6.13
34.75,-118.75,2017,003,    5.56
34.75,-118.25,2017,003,    5.27
34.75,-117.75,2017,003,    5.31
34.75,-117.25,2017,003,    5.35
34.75,-116.75,2017,003,    5.61
34.75,-116.25,2017,003,    6.85
34.75,-115.75,2017,003,    6.31
34.75,-115.25,2017,003,    6.64
35.25,-119.75,2017,003,    7.15
35.25,-119.25,2017,003,    6.90
35.25,-118.75,2017,003,    5.13
35.25,-118.25,2017,003,    3.39
35.25,-117.75,2017,003,    4.14
35.25,-117.25,2017,003,    5.15
35.25,-116.75,2017,003,    5.71
35.25,-116.25,2017,003,    6.60
35.25,-115.75,2017,003,    4.83
35.25,-115.25,2017,003,    5.01
35.75,-119.75,2017,003,    8.09
35.75,-119.25,2017,003,    8.01
35.75,-118.75,2017,003,    4.39
35.75,-118.25,2017,003,    1.22
35.75,-117.75,2017,003,    2.23
35.75,-117.25,2017,003,    4.12
35.75,-116.75,2017,003,    5.25
35.75,-116.25,2017,003,    5.72
35.75,-115.75,2017,003,    4.61
35.75,-115.25,2017,003,    5.36
36.25,-119.75,2017,003,    8.47
36.25,-119.25,2017,003,    7.40
36.25,-118.75,2017,003,    1.27
36.25,-118.25,2017,003,   -1.09
36.25,-117.75,2017,003,    1.04
36.25,-117.25,2017,003,    3.55
36.25,-116.75,2017,003,    4.62
36.25,-116.25,2017,003,    4.73
36.25,-115.75,2017,003,    3.63
36.25,-115.25,2017,003,    4.75
36.75,-119.75,2017,003,    7.53
36.75,-119.25,2017,003,    4.32
36.75,-118.75,2017,003,   -3.37
36.75,-118.25,2017,003,   -2.43
36.75,-117.75,2017,003,    0.75
36.75,-117.25,2017,003,    2.72
36.75,-116.75,2017,003,    2.76
36.75,-116.25,2017,003,    2.81
36.75,-115.75,2017,003,    2.45
36.75,-115.25,2017,003,    3.13
37.25,-119.75,2017,003,    3.57
37.25,-119.25,2017,003,   -1.70
37.25,-118.75,2017,003,   -6.28
37.25,-118.25,2017,003,   -2.73
37.25,-117.75,2017,003,   -0.03
37.25,-117.25,2017,003,    0.97
37.25,-116.75,2017,003,    0.61
37.25,-116.25,2017,003,    0.46
37.25,-115.75,2017,003,    0.89
37.25,-115.25,2017,003,    1.61
32.75,-119.75,2017,004,   15.24
32.75,-119.25,2017,004,   15.09
32.75,-118.75,2017,004,   14.94
32.75,-118.25,2017,004,   14.99
32.75,-117.75,2017,004,   14.47
32.75,-117.25,2017,004,   12.70
32.75,-116.75,2017,004,   10.49
32.75,-116.25,2017,004,   10.20
32.75,-115.75,2017,004,   13.26
32.75,-115.25,2017,004,   13.09
33.25,-119.75,2017,004,   14.76
33.25,-119.25,2017,004,   14.79
33.25,-118.75,2017,004,   14.84
33.25,-118.25,2017,004,   14.49
33.25,-117.75,2017,004,   13.37
33.25,-117.25,2017,004,   11.10
33.25,-116.75,2017,004,    9.20
33.25,-116.25,2017,004,   11.15
33.25,-115.75,2017,004,   12.33
33.25,-115.25,2017,004,   12.11
33.75,-119.75,2017,004,   14.22
33.75,-119.25,2017,004,   14.22
33.75,-118.75,2017,004,   13.65
33.75,-118.25,2017,004,   12.41
33.75,-117.75,2017,004,   10.91
33.75,-117.25,2017,004,    8.97
33.75,-116.75,2017,004,    7.72
33.75,-116.25,2017,004,    9.55
33.75,-115.75,2017,004,   10.51
33.75,-115.25,2017,004,   10.91
34.25,-119.75,2017,004,   12.29
34.25,-119.25,2017,004,   11.27
34.25,-118.75,2017,004,   10.25
34.25,-118.25,2017,004,    9.07
34.25,-117.75,2017,004,    7.88
34.25,-117.25,2017,004,    6.96
34.25,-116.75,2017,004,    6.80
34.25,-116.25,2017,004,    8.15
34.25,-115.75,2017,004,    9.84
34.25,-115.25,2017,004,   10.11
34.75,-119.75,2017,004,   10.04
34.75,-119.25,2017,004,    8.52
34.75,-118.75,2017,004,    7.31
34.75,-118.25,2017,004,    6.69
34.75,-117.75,2017,004,    6.46
34.75,-117.25,2017,004,    6.49
34.75,-116.75,2017,004,    7.00
34.75,-116.25,2017,004,    8.54
34.75,-115.75,2017,004,    8.70
34.75,-115.25,2017,004,    8.51
35.25,-119.75,2017,004,   10.40
35.25,-119.25,2017,004,    9.59
35.25,-118.75,2017,004,    6.94
35.25,-118.25,2017,004,    5.45
35.25,-117.75,2017,004,    5.99
35.25,-117.25,2017,004,    6.76
35.25,-116.75,2017,004,    7.23
35.25,-116.25,2017,004,    8.10
35.25,-115.75,2017,004,    7.02
35.25,-115.25,2017,004,    6.86
35.75,-119.75,2017,004,   11.39
35.75,-119.25,2017,004,   10.30
35.75,-118.75,2017,004,    6.05
35.75,-118.25,2017,004,    3.61
35.75,-117.75,2017,004,    4.61
35.75,-117.25,2017,004,    6.16
35.75,-116.75,2017,004,    6.91
35.75,-116.25,2017,004,    7.15
35.75,-115.75,2017,004,    5.91
35.75,-115.25,2017,004,    6.70
36.25,-119.75,2017,004,   10.89
36.25,-119.25,2017,004,    8.35
36.25,-118.75,2017,004,    2.67
36.25,-118.25,2017,004,    1.30
36.25,-117.75,2017,004,    3.47
36.25,-117.25,2017,004,    5.65
