-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
37.25,-115.25,2017,001,    1.74
37.25,-114.75,2017,001,    2.50
37.25,-114.25,2017,001,    2.77
37.25,-113.75,2017,001,    2.37
37.25,-113.25,2017,001,    0.67
37.25,-112.75,2017,001,   -0.31
37.25,-112.25,2017,001,   -0.52
37.25,-111.75,2017,001,   -0.05
37.25,-111.25,2017,001,    0.43
37.25,-110.75,2017,001,    0.69
37.75,-115.25,2017,001,   -0.02
37.75,-114.75,2017,001,    0.20
37.75,-114.25,2017,001,   -0.05
37.75,-113.75,2017,001,   -0.30
37.75,-113.25,2017,001,   -0.78
37.75,-112.75,2017,001,   -1.63
37.75,-112.25,2017,001,   -2.16
37.75,-111.75,2017,001,   -1.80
37.75,-111.25,2017,001,   -0.47
37.75,-110.75,2017,001,    0.35
38.25,-115.25,2017,001,   -1.03
38.25,-114.75,2017,001,   -1.11
38.25,-114.25,2017,001,   -1.42
38.25,-113.75,2017,001,   -1.39
38.25,-113.25,2017,001,   -1.02
38.25,-112.75,2017,001,   -1.94
38.25,-112.25,2017,001,   -3.40
38.25,-111.75,2017,001,   -3.92
38.25,-111.25,2017,001,   -1.85
38.25,-110.75,2017,001,   -0.49
38.75,-115.25,2017,001,   -2.51
38.75,-114.75,2017,001,   -2.54
38.75,-114.25,2017,001,   -2.55
38.75,-113.75,2017,001,   -1.80
38.75,-113.25,2017,001,   -1.51
38.75,-112.75,2017,001,   -1.71
38.75,-112.25,2017,001,   -2.82
38.75,-111.75,2017,001,   -3.95
38.75,-111.25,2017,001,   -4.23
38.75,-110.75,2017,001,   -1.93
39.25,-115.25,2017,001,   -4.13
39.25,-114.75,2017,001,   -4.04
39.25,-114.25,2017,001,   -3.36
39.25,-113.75,2017,001,   -2.01
39.25,-113.25,2017,001,   -1.84
39.25,-112.75,2017,001,   -1.69
39.25,-112.25,2017,001,   -2.18
39.25,-111.75,2017,001,   -3.61
39.25,-111.25,2017,001,   -7.64
39.25,-110.75,2017,001,   -4.36
39.75,-115.25,2017,001,   -5.76
39.75,-114.75,2017,001,   -5.38
39.75,-114.25,2017,001,   -3.99
39.75,-113.75,2017,001,   -3.06
39.75,-113.25,2017,001,   -2.94
39.75,-112.75,2017,001,   -3.28
39.75,-112.25,2017,001,   -3.74
39.75,-111.75,2017,001,   -4.72
39.75,-111.25,2017,001,   -8.69
39.75,-110.75,2017,001,   -6.77
40.25,-115.25,2017,001,   -8.27
40.25,-114.75,2017,001,   -7.55
40.25,-114.25,2017,001,   -5.77
40.25,-113.75,2017,001,   -5.01
40.25,-113.25,2017,001,   -4.96
40.25,-112.75,2017,001,   -5.37
40.25,-112.25,2017,001,   -5.80
40.25,-111.75,2017,001,   -6.47
40.25,-111.25,2017,001,   -9.03
40.25,-110.75,2017,001,   -9.22
40.75,-115.25,2017,001,  -10.14
40.75,-114.75,2017,001,   -9.76
40.75,-114.25,2017,001,   -8.54
40.75,-113.75,2017,001,   -7.48
40.75,-113.25,2017,001,   -7.80
40.75,-112.75,2017,001,   -7.79
40.75,-112.25,2017,001,   -7.85
40.75,-111.75,2017,001,   -8.29
40.75,-111.25,2017,001,   -9.86
40.75,-110.75,2017,001,  -10.62
41.25,-115.25,2017,001,  -11.47
41.25,-114.75,2017,001,  -11.32
41.25,-114.25,2017,001,  -10.84
41.25,-113.75,2017,001,  -10.12
41.25,-113.25,2017,001,   -9.98
41.25,-112.75,2017,001,   -9.63
41.25,-112.25,2017,001,   -9.56
41.25,-111.75,2017,001,   -9.79
41.25,-111.25,2017,001,  -10.47
41.25,-110.75,2017,001,   -9.77
41.75,-115.25,2017,001,  -12.33
41.75,-114.75,2017,001,  -12.33
41.75,-114.25,2017,001,  -12.20
41.75,-113.75,2017,001,  -12.24
41.75,-113.25,2017,001,  -12.11
41.75,-112.75,2017,001,  -11.78
41.75,-112.25,2017,001,  -11.48
41.75,-111.75,2017,001,  -11.41
41.75,-111.25,2017,001,  -12.28
41.75,-110.75,2017,001,  -11.34
37.25,-115.25,2017,002,    0.64
37.25,-114.75,2017,002,    1.66
37.25,-114.25,2017,002,    2.67
37.25,-113.75,2017,002,    2.63
37.25,-113.25,2017,002,    0.80
37.25,-112.75,2017,002,   -0.47
37.25,-112.25,2017,002,   -0.63
37.25,-111.75,2017,002,    0.07
37.25,-111.25,2017,002,    0.79
37.25,-110.75,2017,002,    0.84
37.75,-115.25,2017,002,   -0.71
37.75,-114.75,2017,002,   -0.06
37.75,-114.25,2017,002,    0.22
37.75,-113.75,2017,002,    0.32
37.75,-113.25,2017,002,   -0.33
37.75,-112.75,2017,002,   -1.68
37.75,-112.25,2017,002,   -2.35
37.75,-111.75,2017,002,   -1.84
37.75,-111.25,2017,002,   -0.17
37.75,-110.75,2017,002,    0.80
38.25,-115.25,2017,002,   -1.61
38.25,-114.75,2017,002,   -1.25
38.25,-114.25,2017,002,   -1.02
38.25,-113.75,2017,002,   -0.33
38.25,-113.25,2017,002,    0.25
38.25,-112.75,2017,002,   -1.16
38.25,-112.25,2017,002,   -2.86
38.25,-111.75,2017,002,   -3.51
38.25,-111.25,2017,002,   -1.74
38.25,-110.75,2017,002,    0.08
38.75,-115.25,2017,002,   -3.43
38.75,-114.75,2017,002,   -3.12
38.75,-114.25,2017,002,   -2.54
38.75,-113.75,2017,002,   -0.97
38.75,-113.25,2017,002,    0.06
38.75,-112.75,2017,002,   -0.28
38.75,-112.25,2017,002,   -1.61
38.75,-111.75,2017,002,   -3.27
38.75,-111.25,2017,002,   -3.74
38.75,-110.75,2017,002,   -1.15
39.25,-115.25,2017,002,   -5.45
39.25,-114.75,2017,002,   -5.00
39.25,-114.25,2017,002,   -3.79
39.25,-113.75,2017,002,   -1.46
39.25,-113.25,2017,002,   -0.41
39.25,-112.75,2017,002,   -0.10
39.25,-112.25,2017,002,   -0.59
39.25,-111.75,2017,002,   -2.28
39.25,-111.25,2017,002,   -5.18
39.25,-110.75,2017,002,   -2.93
39.75,-115.25,2017,002,   -6.41
39.75,-114.75,2017,002,   -5.85
39.75,-114.25,2017,002,   -4.30
39.75,-113.75,2017,002,   -2.35
39.75,-113.25,2017,002,   -1.52
39.75,-112.75,2017,002,   -1.88
39.75,-112.25,2017,002,   -2.08
39.75,-111.75,2017,002,   -2.71
39.75,-111.25,2017,002,   -5.61
39.75,-110.75,2017,002,   -4.41
40.25,-115.25,2017,002,   -7.62
40.25,-114.75,2017,002,   -6.80
40.25,-114.25,2017,002,   -5.03
40.25,-113.75,2017,002,   -3.50
40.25,-113.25,2017,002,   -3.24
40.25,-112.75,2017,002,   -4.22
40.25,-112.25,2017,002,   -4.68
40.25,-111.75,2017,002,   -4.93
40.25,-111.25,2017,002,   -7.13
40.25,-110.75,2017,002,   -6.95
40.75,-115.25,2017,002,   -8.79
40.75,-114.75,2017,002,   -8.26
40.75,-114.25,2017,002,   -6.83
40.75,-113.75,2017,002,   -5.21
40.75,-113.25,2017,002,   -5.50
40.75,-112.75,2017,002,   -5.93
40.75,-112.25,2017,002,   -6.56
40.75,-111.75,2017,002,   -7.44
40.75,-111.25,2017,002,   -9.06
40.75,-110.75,2017,002,   -9.94
41.25,-115.25,2017,002,  -10.01
41.25,-114.75,2017,002,   -9.73
41.25,-114.25,2017,002,   -8.88
41.25,-113.75,2017,002,   -7.55
41.25,-113.25,2017,002,   -7.26
41.25,-112.75,2017,002,   -6.97
41.25,-112.25,2017,002,   -7.84
