-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
37.25,-124.25,2017,001,   11.46
37.25,-123.75,2017,001,   11.47
37.25,-123.25,2017,001,   11.30
37.25,-122.75,2017,001,   10.36
37.25,-122.25,2017,001,    8.23
37.25,-121.75,2017,001,    5.77
37.25,-121.25,2017,001,    5.12
37.25,-120.75,2017,001,    5.46
37.25,-120.25,2017,001,    4.91
37.25,-119.75,2017,001,    1.90
37.75,-124.25,2017,001,   11.08
37.75,-123.75,2017,001,   10.98
37.75,-123.25,2017,001,   10.25
37.75,-122.75,2017,001,    8.92
37.75,-122.25,2017,001,    7.24
37.75,-121.75,2017,001,    5.83
37.75,-121.25,2017,001,    5.64
37.75,-120.75,2017,001,    4.90
37.75,-120.25,2017,001,    2.80
37.75,-119.75,2017,001,   -1.83
38.25,-124.25,2017,001,   10.68
38.25,-123.75,2017,001,   10.14
38.25,-123.25,2017,001,    8.27
38.25,-122.75,2017,001,    6.72
38.25,-122.25,2017,001,    6.07
38.25,-121.75,2017,001,    6.14
38.25,-121.25,2017,001,    5.98
38.25,-120.75,2017,001,    3.67
38.25,-120.25,2017,001,   -0.22
38.25,-119.75,2017,001,   -3.97
38.75,-124.25,2017,001,   10.15
38.75,-123.75,2017,001,    8.50
38.75,-123.25,2017,001,    5.45
38.75,-122.75,2017,001,    4.07
38.75,-122.25,2017,001,    4.43
38.75,-121.75,2017,001,    5.53
38.75,-121.25,2017,001,    5.29
38.75,-120.75,2017,001,    1.80
38.75,-120.25,2017,001,   -2.02
38.75,-119.75,2017,001,   -3.50
39.25,-124.25,2017,001,    9.46
39.25,-123.75,2017,001,    6.57
39.25,-123.25,2017,001,    2.59
39.25,-122.75,2017,001,    2.16
39.25,-122.25,2017,001,    3.59
39.25,-121.75,2017,001,    4.85
39.25,-121.25,2017,001,    3.54
39.25,-120.75,2017,001,   -0.52
39.25,-120.25,2017,001,   -2.73
39.25,-119.75,2017,001,   -2.52
39.75,-124.25,2017,001,    8.37
39.75,-123.75,2017,001,    4.38
39.75,-123.25,2017,001,    0.37
39.75,-122.75,2017,001,    1.14
39.75,-122.25,2017,001,    3.02
39.75,-121.75,2017,001,    3.38
39.75,-121.25,2017,001,    0.61
39.75,-120.75,2017,001,   -2.08
39.75,-120.25,2017,001,   -2.78
39.75,-119.75,2017,001,   -2.13
40.25,-124.25,2017,001,    6.79
40.25,-123.75,2017,001,    1.96
40.25,-123.25,2017,001,   -0.75
40.25,-122.75,2017,001,    0.62
40.25,-122.25,2017,001,    1.81
40.25,-121.75,2017,001,    0.74
40.25,-121.25,2017,001,   -2.51
40.25,-120.75,2017,001,   -3.01
40.25,-120.25,2017,001,   -2.51
40.25,-119.75,2017,001,   -1.81
40.75,-124.25,2017,001,    6.25
40.75,-123.75,2017,001,    0.63
40.75,-123.25,2017,001,   -1.57
40.75,-122.75,2017,001,   -1.03
40.75,-122.25,2017,001,   -0.38
40.75,-121.75,2017,001,   -1.04
40.75,-121.25,2017,001,   -3.24
40.75,-120.75,2017,001,   -4.08
40.75,-120.25,2017,001,   -3.95
40.75,-119.75,2017,001,   -3.51
41.25,-124.25,2017,001,    6.43
41.25,-123.75,2017,001,    0.27
41.25,-123.25,2017,001,   -2.13
41.25,-122.75,2017,001,   -3.00
41.25,-122.25,2017,001,   -3.16
41.25,-121.75,2017,001,   -3.21
41.25,-121.25,2017,001,   -3.52
41.25,-120.75,2017,001,   -4.74
41.25,-120.25,2017,001,   -5.69
41.25,-119.75,2017,001,   -6.27
41.75,-124.25,2017,001,    5.72
