-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
37.25,-119.75,2017,001,    1.90
37.25,-119.25,2017,001,   -3.26
37.25,-118.75,2017,001,   -8.34
37.25,-118.25,2017,001,   -2.91
37.25,-117.75,2017,001,    0.51
37.25,-117.25,2017,001,    1.77
37.25,-116.75,2017,001,    1.45
37.25,-116.25,2017,001,    0.86
37.25,-115.75,2017,001,    0.94
37.25,-115.25,2017,001,    1.74
37.75,-119.75,2017,001,   -1.83
37.75,-119.25,2017,001,   -6.80
37.75,-118.75,2017,001,   -6.57
37.75,-118.25,2017,001,   -2.12
37.75,-117.75,2017,001,    0.07
37.75,-117.25,2017,001,    0.59
37.75,-116.75,2017,001,    0.22
37.75,-116.25,2017,001,   -0.12
37.75,-115.75,2017,001,   -0.47
37.75,-115.25,2017,001,   -0.02
38.25,-119.75,2017,001,   -3.97
38.25,-119.25,2017,001,   -5.45
38.25,-118.75,2017,001,   -2.15
38.25,-118.25,2017,001,   -0.87
38.25,-117.75,2017,001,   -0.28
38.25,-117.25,2017,001,   -0.49
38.25,-116.75,2017,001,   -1.02
38.25,-116.25,2017,001,   -0.87
38.25,-115.75,2017,001,   -1.15
38.25,-115.25,2017,001,   -1.03
38.75,-119.75,2017,001,   -3.50
38.75,-119.25,2017,001,   -2.17
38.75,-118.75,2017,001,    0.28
38.75,-118.25,2017,001,   -0.04
38.75,-117.75,2017,001,   -0.90
38.75,-117.25,2017,001,   -1.91
38.75,-116.75,2017,001,   -2.57
38.75,-116.25,2017,001,   -2.27
38.75,-115.75,2017,001,   -2.57
38.75,-115.25,2017,001,   -2.51
39.25,-119.75,2017,001,   -2.52
39.25,-119.25,2017,001,   -0.65
39.25,-118.75,2017,001,    0.76
39.25,-118.25,2017,001,    0.04
39.25,-117.75,2017,001,   -1.23
39.25,-117.25,2017,001,   -2.39
39.25,-116.75,2017,001,   -3.06
39.25,-116.25,2017,001,   -3.12
39.25,-115.75,2017,001,   -3.77
39.25,-115.25,2017,001,   -4.13
39.75,-119.75,2017,001,   -2.13
39.75,-119.25,2017,001,   -0.89
39.75,-118.75,2017,001,    0.11
39.75,-118.25,2017,001,   -0.26
