-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
41.75,-124.25,2017,001,    5.72
41.75,-123.75,2017,001,   -0.17
41.75,-123.25,2017,001,   -2.01
41.75,-122.75,2017,001,   -3.23
41.75,-122.25,2017,001,   -4.30
41.75,-121.75,2017,001,   -5.10
41.75,-121.25,2017,001,   -4.91
41.75,-120.75,2017,001,   -5.70
41.75,-120.25,2017,001,   -6.72
41.75,-119.75,2017,001,   -7.80
42.25,-124.25,2017,001,    4.41
42.25,-123.75,2017,001,   -0.29
42.25,-123.25,2017,001,   -1.28
42.25,-122.75,2017,001,   -2.63
42.25,-122.25,2017,001,   -4.10
42.25,-121.75,2017,001,   -5.40
42.25,-121.25,2017,001,   -6.09
42.25,-120.75,2017,001,   -6.97
42.25,-120.25,2017,001,   -7.61
42.25,-119.75,2017,001,   -8.35
42.75,-124.25,2017,001,    3.91
42.75,-123.75,2017,001,    0.44
42.75,-123.25,2017,001,   -0.40
42.75,-122.75,2017,001,   -2.31
42.75,-122.25,2017,001,   -4.49
42.75,-121.75,2017,001,   -6.20
42.75,-121.25,2017,001,   -6.83
42.75,-120.75,2017,001,   -7.14
42.75,-120.25,2017,001,   -7.26
42.75,-119.75,2017,001,   -7.76
43.25,-124.25,2017,001,    4.85
43.25,-123.75,2017,001,    1.60
43.25,-123.25,2017,001,    0.19
43.25,-122.75,2017,001,   -2.07
43.25,-122.25,2017,001,   -4.53
43.25,-121.75,2017,001,   -6.45
43.25,-121.25,2017,001,   -6.96
43.25,-120.75,2017,001,   -7.03
43.25,-120.25,2017,001,   -7.08
43.25,-119.75,2017,001,   -7.57
43.75,-124.25,2017,001,    5.62
43.75,-123.75,2017,001,    2.47
43.75,-123.25,2017,001,    0.87
43.75,-122.75,2017,001,   -1.31
43.75,-122.25,2017,001,   -3.77
43.75,-121.75,2017,001,   -5.78
43.75,-121.25,2017,001,   -6.21
43.75,-120.75,2017,001,   -6.79
43.75,-120.25,2017,001,   -7.52
43.75,-119.75,2017,001,   -8.36
44.25,-124.25,2017,001,    5.57
44.25,-123.75,2017,001,    2.40
44.25,-123.25,2017,001,    1.12
44.25,-122.75,2017,001,   -0.65
44.25,-122.25,2017,001,   -3.03
44.25,-121.75,2017,001,   -5.24
44.25,-121.25,2017,001,   -5.53
44.25,-120.75,2017,001,   -6.11
44.25,-120.25,2017,001,   -6.90
44.25,-119.75,2017,001,   -7.89
44.75,-124.25,2017,001,    5.52
44.75,-123.75,2017,001,    1.83
44.75,-123.25,2017,001,    0.86
44.75,-122.75,2017,001,   -0.52
44.75,-122.25,2017,001,   -2.57
44.75,-121.75,2017,001,   -4.49
44.75,-121.25,2017,001,   -4.44
44.75,-120.75,2017,001,   -4.40
44.75,-120.25,2017,001,   -5.08
44.75,-119.75,2017,001,   -6.29
45.25,-124.25,2017,001,    5.45
45.25,-123.75,2017,001,    1.66
45.25,-123.25,2017,001,    0.59
45.25,-122.75,2017,001,   -0.31
45.25,-122.25,2017,001,   -1.65
45.25,-121.75,2017,001,   -2.96
45.25,-121.25,2017,001,   -2.74
45.25,-120.75,2017,001,   -2.28
45.25,-120.25,2017,001,   -2.55
45.25,-119.75,2017,001,   -3.45
45.75,-124.25,2017,001,    4.97
45.75,-123.75,2017,001,    1.81
45.75,-123.25,2017,001,    0.50
45.75,-122.75,2017,001,   -0.32
45.75,-122.25,2017,001,   -1.68
45.75,-121.75,2017,001,   -3.27
45.75,-121.25,2017,001,   -3.42
45.75,-120.75,2017,001,   -3.02
45.75,-120.25,2017,001,   -1.89
45.75,-119.75,2017,001,   -1.28
46.25,-124.25,2017,001,    4.60
46.25,-123.75,2017,001,    1.38
46.25,-123.25,2017,001,    0.34
46.25,-122.75,2017,001,   -0.99
46.25,-122.25,2017,001,   -3.08
46.25,-121.75,2017,001,   -5.33
46.25,-121.25,2017,001,   -6.04
46.25,-120.75,2017,001,   -5.20
46.25,-120.25,2017,001,   -3.53
46.25,-119.75,2017,001,   -2.21
41.75,-124.25,2017,002,    4.90
41.75,-123.75,2017,002,   -0.59
41.75,-123.25,2017,002,   -2.85
41.75,-122.75,2017,002,   -4.20
41.75,-122.25,2017,002,   -5.15
41.75,-121.75,2017,002,   -5.71
41.75,-121.25,2017,002,   -5.35
41.75,-120.75,2017,002,   -6.06
41.75,-120.25,2017,002,   -7.11
41.75,-119.75,2017,002,   -8.35
42.25,-124.25,2017,002,    3.43
42.25,-123.75,2017,002,   -0.71
42.25,-123.25,2017,002,   -1.97
42.25,-122.75,2017,002,   -3.53
42.25,-122.25,2017,002,   -5.13
42.25,-121.75,2017,002,   -6.38
42.25,-121.25,2017,002,   -6.72
42.25,-120.75,2017,002,   -7.43
42.25,-120.25,2017,002,   -7.92
42.25,-119.75,2017,002,   -8.86
42.75,-124.25,2017,002,    2.53
42.75,-123.75,2017,002,   -0.25
42.75,-123.25,2017,002,   -1.09
42.75,-122.75,2017,002,   -3.24
42.75,-122.25,2017,002,   -5.78
42.75,-121.75,2017,002,   -7.73
42.75,-121.25,2017,002,   -8.08
42.75,-120.75,2017,002,   -8.02
42.75,-120.25,2017,002,   -7.89
42.75,-119.75,2017,002,   -8.28
43.25,-124.25,2017,002,    3.04
43.25,-123.75,2017,002,    0.58
43.25,-123.25,2017,002,   -0.67
43.25,-122.75,2017,002,   -3.27
43.25,-122.25,2017,002,   -6.24
43.25,-121.75,2017,002,   -8.44
43.25,-121.25,2017,002,   -8.54
43.25,-120.75,2017,002,   -7.92
43.25,-120.25,2017,002,   -7.86
43.25,-119.75,2017,002,   -8.36
43.75,-124.25,2017,002,    3.77
43.75,-123.75,2017,002,    1.37
43.75,-123.25,2017,002,    0.16
43.75,-122.75,2017,002,   -2.42
43.75,-122.25,2017,002,   -5.56
43.75,-121.75,2017,002,   -7.95
43.75,-121.25,2017,002,   -7.76
43.75,-120.75,2017,002,   -7.61
43.75,-120.25,2017,002,   -8.24
43.75,-119.75,2017,002,   -9.07
44.25,-124.25,2017,002,    3.55
44.25,-123.75,2017,002,    0.98
44.25,-123.25,2017,002,    0.08
44.25,-122.75,2017,002,   -2.16
44.25,-122.25,2017,002,   -5.35
44.25,-121.75,2017,002,   -7.92
44.25,-121.25,2017,002,   -7.14
44.25,-120.75,2017,002,   -7.32
44.25,-120.25,2017,002,   -8.05
44.25,-119.75,2017,002,   -8.91
44.75,-124.25,2017,002,    3.22
44.75,-123.75,2017,002,   -0.36
