-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
41.75,-115.25,2017,001,  -12.33
41.75,-114.75,2017,001,  -12.33
41.75,-114.25,2017,001,  -12.20
41.75,-113.75,2017,001,  -12.24
41.75,-113.25,2017,001,  -12.11
41.75,-112.75,2017,001,  -11.78
41.75,-112.25,2017,001,  -11.48
41.75,-111.75,2017,001,  -11.41
41.75,-111.25,2017,001,  -12.28
41.75,-110.75,2017,001,  -11.34
42.25,-115.25,2017,001,  -10.56
42.25,-114.75,2017,001,  -11.31
42.25,-114.25,2017,001,  -12.41
42.25,-113.75,2017,001,  -13.34
42.25,-113.25,2017,001,  -13.84
42.25,-112.75,2017,001,  -13.79
42.25,-112.25,2017,001,  -13.29
42.25,-111.75,2017,001,  -12.93
42.25,-111.25,2017,001,  -14.28
42.25,-110.75,2017,001,  -14.67
42.75,-115.25,2017,001,  -10.81
42.75,-114.75,2017,001,  -11.88
42.75,-114.25,2017,001,  -13.38
42.75,-113.75,2017,001,  -14.60
42.75,-113.25,2017,001,  -14.73
42.75,-112.75,2017,001,  -14.43
42.75,-112.25,2017,001,  -14.13
42.75,-111.75,2017,001,  -14.15
42.75,-111.25,2017,001,  -15.09
42.75,-110.75,2017,001,  -15.52
43.25,-115.25,2017,001,  -13.95
43.25,-114.75,2017,001,  -14.89
43.25,-114.25,2017,001,  -15.36
43.25,-113.75,2017,001,  -16.14
43.25,-113.25,2017,001,  -16.20
43.25,-112.75,2017,001,  -15.58
43.25,-112.25,2017,001,  -15.08
43.25,-111.75,2017,001,  -15.02
43.25,-111.25,2017,001,  -15.51
43.25,-110.75,2017,001,  -15.82
43.75,-115.25,2017,001,  -15.68
43.75,-114.75,2017,001,  -17.04
43.75,-114.25,2017,001,  -17.32
43.75,-113.75,2017,001,  -17.48
43.75,-113.25,2017,001,  -17.61
43.75,-112.75,2017,001,  -17.20
43.75,-112.25,2017,001,  -16.46
43.75,-111.75,2017,001,  -15.90
43.75,-111.25,2017,001,  -16.20
43.75,-110.75,2017,001,  -16.97
44.25,-115.25,2017,001,  -16.92
44.25,-114.75,2017,001,  -17.98
44.25,-114.25,2017,001,  -18.10
44.25,-113.75,2017,001,  -17.98
44.25,-113.25,2017,001,  -18.86
44.25,-112.75,2017,001,  -19.07
44.25,-112.25,2017,001,  -18.71
44.25,-111.75,2017,001,  -18.15
44.25,-111.25,2017,001,  -17.38
44.25,-110.75,2017,001,  -17.86
44.75,-115.25,2017,001,  -17.40
44.75,-114.75,2017,001,  -17.95
44.75,-114.25,2017,001,  -17.98
44.75,-113.75,2017,001,  -17.67
44.75,-113.25,2017,001,  -19.32
44.75,-112.75,2017,001,  -19.86
44.75,-112.25,2017,001,  -19.71
44.75,-111.75,2017,001,  -19.28
44.75,-111.25,2017,001,  -18.32
44.75,-110.75,2017,001,  -17.88
45.25,-115.25,2017,001,  -16.42
45.25,-114.75,2017,001,  -17.50
45.25,-114.25,2017,001,  -18.18
45.25,-113.75,2017,001,  -18.04
45.25,-113.25,2017,001,  -18.85
45.25,-112.75,2017,001,  -19.01
45.25,-112.25,2017,001,  -18.61
45.25,-111.75,2017,001,  -18.02
45.25,-111.25,2017,001,  -17.40
45.25,-110.75,2017,001,  -16.86
45.75,-115.25,2017,001,  -14.69
45.75,-114.75,2017,001,  -16.83
45.75,-114.25,2017,001,  -18.01
45.75,-113.75,2017,001,  -17.90
45.75,-113.25,2017,001,  -18.21
45.75,-112.75,2017,001,  -18.16
45.75,-112.25,2017,001,  -17.91
45.75,-111.75,2017,001,  -17.66
45.75,-111.25,2017,001,  -16.93
45.75,-110.75,2017,001,  -16.55
46.25,-115.25,2017,001,  -13.11
46.25,-114.75,2017,001,  -15.47
46.25,-114.25,2017,001,  -16.62
46.25,-113.75,2017,001,  -16.39
46.25,-113.25,2017,001,  -16.98
46.25,-112.75,2017,001,  -17.19
46.25,-112.25,2017,001,  -17.39
46.25,-111.75,2017,001,  -17.68
46.25,-111.25,2017,001,  -17.46
46.25,-110.75,2017,001,  -17.02
41.75,-115.25,2017,002,  -10.72
41.75,-114.75,2017,002,  -10.56
41.75,-114.25,2017,002,  -10.16
41.75,-113.75,2017,002,   -9.65
41.75,-113.25,2017,002,   -9.17
41.75,-112.75,2017,002,   -8.81
41.75,-112.25,2017,002,   -9.49
41.75,-111.75,2017,002,  -10.75
41.75,-111.25,2017,002,  -11.56
41.75,-110.75,2017,002,  -10.86
42.25,-115.25,2017,002,   -8.93
42.25,-114.75,2017,002,   -9.46
42.25,-114.25,2017,002,  -10.27
42.25,-113.75,2017,002,  -10.77
42.25,-113.25,2017,002,  -10.94
42.25,-112.75,2017,002,  -11.08
42.25,-112.25,2017,002,  -11.43
42.25,-111.75,2017,002,  -12.02
42.25,-111.25,2017,002,  -13.32
42.25,-110.75,2017,002,  -13.39
42.75,-115.25,2017,002,   -9.12
42.75,-114.75,2017,002,   -9.83
42.75,-114.25,2017,002,  -11.03
42.75,-113.75,2017,002,  -11.94
42.75,-113.25,2017,002,  -12.22
42.75,-112.75,2017,002,  -12.59
42.75,-112.25,2017,002,  -12.99
42.75,-111.75,2017,002,  -13.44
42.75,-111.25,2017,002,  -14.67
42.75,-110.75,2017,002,  -15.09
43.25,-115.25,2017,002,  -12.20
43.25,-114.75,2017,002,  -12.89
43.25,-114.25,2017,002,  -13.38
43.25,-113.75,2017,002,  -14.18
43.25,-113.25,2017,002,  -14.29
43.25,-112.75,2017,002,  -14.30
43.25,-112.25,2017,002,  -14.36
43.25,-111.75,2017,002,  -14.63
43.25,-111.25,2017,002,  -15.61
43.25,-110.75,2017,002,  -16.13
43.75,-115.25,2017,002,  -14.24
43.75,-114.75,2017,002,  -15.77
43.75,-114.25,2017,002,  -16.30
43.75,-113.75,2017,002,  -16.61
43.75,-113.25,2017,002,  -16.89
43.75,-112.75,2017,002,  -16.54
43.75,-112.25,2017,002,  -16.16
43.75,-111.75,2017,002,  -16.12
43.75,-111.25,2017,002,  -16.72
43.75,-110.75,2017,002,  -17.58
44.25,-115.25,2017,002,  -15.80
44.25,-114.75,2017,002,  -17.37
44.25,-114.25,2017,002,  -18.04
44.25,-113.75,2017,002,  -18.33
44.25,-113.25,2017,002,  -19.41
44.25,-112.75,2017,002,  -19.41
44.25,-112.25,2017,002,  -18.98
44.25,-111.75,2017,002,  -18.48
44.25,-111.25,2017,002,  -18.55
44.25,-110.75,2017,002,  -19.51
44.75,-115.25,2017,002,  -17.39
44.75,-114.75,2017,002,  -18.50
44.75,-114.25,2017,002,  -19.19
44.75,-113.75,2017,002,  -19.80
44.75,-113.25,2017,002,  -21.40
44.75,-112.75,2017,002,  -21.88
44.75,-112.25,2017,002,  -21.74
44.75,-111.75,2017,002,  -21.29
44.75,-111.25,2017,002,  -21.00
44.75,-110.75,2017,002,  -21.42
45.25,-115.25,2017,002,  -18.23
45.25,-114.75,2017,002,  -19.73
45.25,-114.25,2017,002,  -20.67
45.25,-113.75,2017,002,  -21.10
45.25,-113.25,2017,002,  -22.48
45.25,-112.75,2017,002,  -22.76
45.25,-112.25,2017,002,  -22.61
45.25,-111.75,2017,002,  -22.47
45.25,-111.25,2017,002,  -22.21
45.25,-110.75,2017,002,  -21.95
45.75,-115.25,2017,002,  -17.99
45.75,-114.75,2017,002,  -20.04
45.75,-114.25,2017,002,  -20.96
45.75,-113.75,2017,002,  -21.15
45.75,-113.25,2017,002,  -22.79
45.75,-112.75,2017,002,  -22.83
45.75,-112.25,2017,002,  -22.21
45.75,-111.75,2017,002,  -21.66
45.75,-111.25,2017,002,  -21.56
45.75,-110.75,2017,002,  -21.50
46.25,-115.25,2017,002,  -17.22
46.25,-114.75,2017,002,  -19.59
46.25,-114.25,2017,002,  -20.92
46.25,-113.75,2017,002,  -21.15
46.25,-113.25,2017,002,  -21.95
46.25,-112.75,2017,002,  -22.07
46.25,-112.25,2017,002,  -21.55
46.25,-111.75,2017,002,  -20.96
46.25,-111.25,2017,002,  -20.94
46.25,-110.75,2017,002,  -21.44
41.75,-115.25,2017,003,   -8.06
41.75,-114.75,2017,003,   -8.26
41.75,-114.25,2017,003,   -8.36
41.75,-113.75,2017,003,   -8.73
41.75,-113.25,2017,003,   -8.51
41.75,-112.75,2017,003,   -7.98
41.75,-112.25,2017,003,   -8.35
41.75,-111.75,2017,003,   -9.48
41.75,-111.25,2017,003,  -10.64
41.75,-110.75,2017,003,  -10.26
42.25,-115.25,2017,003,   -6.90
42.25,-114.75,2017,003,   -7.44
42.25,-114.25,2017,003,   -8.39
42.25,-113.75,2017,003,   -9.48
42.25,-113.25,2017,003,  -10.00
42.25,-112.75,2017,003,  -10.07
42.25,-112.25,2017,003,  -10.35
42.25,-111.75,2017,003,  -10.95
42.25,-111.25,2017,003,  -11.94
42.25,-110.75,2017,003,  -12.53
42.75,-115.25,2017,003,   -7.49
42.75,-114.75,2017,003,   -8.10
42.75,-114.25,2017,003,   -9.36
42.75,-113.75,2017,003,  -10.55
42.75,-113.25,2017,003,  -11.00
42.75,-112.75,2017,003,  -10.81
42.75,-112.25,2017,003,  -11.01
42.75,-111.75,2017,003,  -11.75
42.75,-111.25,2017,003,  -12.91
42.75,-110.75,2017,003,  -14.15
43.25,-115.25,2017,003,  -10.31
43.25,-114.75,2017,003,  -11.02
43.25,-114.25,2017,003,  -11.53
43.25,-113.75,2017,003,  -12.49
43.25,-113.25,2017,003,  -13.27
43.25,-112.75,2017,003,  -12.54
43.25,-112.25,2017,003,  -11.97
43.25,-111.75,2017,003,  -12.20
43.25,-111.25,2017,003,  -13.70
43.25,-110.75,2017,003,  -15.26
43.75,-115.25,2017,003,  -13.39
43.75,-114.75,2017,003,  -14.63
43.75,-114.25,2017,003,  -14.78
43.75,-113.75,2017,003,  -15.09
43.75,-113.25,2017,003,  -15.64
43.75,-112.75,2017,003,  -15.08
43.75,-112.25,2017,003,  -14.18
43.75,-111.75,2017,003,  -13.54
43.75,-111.25,2017,003,  -14.76
43.75,-110.75,2017,003,  -16.45
44.25,-115.25,2017,003,  -15.70
44.25,-114.75,2017,003,  -17.05
44.25,-114.25,2017,003,  -17.43
44.25,-113.75,2017,003,  -17.41
44.25,-113.25,2017,003,  -17.69
44.25,-112.75,2017,003,  -17.66
44.25,-112.25,2017,003,  -17.37
44.25,-111.75,2017,003,  -16.80
44.25,-111.25,2017,003,  -16.78
44.25,-110.75,2017,003,  -18.09
44.75,-115.25,2017,003,  -17.11
44.75,-114.75,2017,003,  -18.28
44.75,-114.25,2017,003,  -19.07
44.75,-113.75,2017,003,  -19.13
44.75,-113.25,2017,003,  -19.72
44.75,-112.75,2017,003,  -20.17
44.75,-112.25,2017,003,  -20.44
44.75,-111.75,2017,003,  -20.22
44.75,-111.25,2017,003,  -19.75
44.75,-110.75,2017,003,  -20.08
45.25,-115.25,2017,003,  -18.28
45.25,-114.75,2017,003,  -19.84
45.25,-114.25,2017,003,  -21.00
45.25,-113.75,2017,003,  -20.96
45.25,-113.25,2017,003,  -21.35
45.25,-112.75,2017,003,  -21.71
45.25,-112.25,2017,003,  -21.96
45.25,-111.75,2017,003,  -21.79
45.25,-111.25,2017,003,  -21.60
45.25,-110.75,2017,003,  -21.35
45.75,-115.25,2017,003,  -19.97
45.75,-114.75,2017,003,  -21.85
45.75,-114.25,2017,003,  -22.37
45.75,-113.75,2017,003,  -21.54
45.75,-113.25,2017,003,  -21.98
45.75,-112.75,2017,003,  -21.91
45.75,-112.25,2017,003,  -21.78
45.75,-111.75,2017,003,  -21.66
45.75,-111.25,2017,003,  -21.59
45.75,-110.75,2017,003,  -21.40
46.25,-115.25,2017,003,  -20.59
46.25,-114.75,2017,003,  -22.19
46.25,-114.25,2017,003,  -22.25
46.25,-113.75,2017,003,  -21.22
46.25,-113.25,2017,003,  -21.60
46.25,-112.75,2017,003,  -21.53
46.25,-112.25,2017,003,  -21.54
46.25,-111.75,2017,003,  -21.68
46.25,-111.25,2017,003,  -21.74
46.25,-110.75,2017,003,  -21.89
41.75,-115.25,2017,004,   -6.57
41.75,-114.75,2017,004,   -6.91
41.75,-114.25,2017,004,   -7.41
41.75,-113.75,2017,004,   -8.07
41.75,-113.25,2017,004,   -7.45
41.75,-112.75,2017,004,   -6.17
41.75,-112.25,2017,004,   -4.85
41.75,-111.75,2017,004,   -4.87
41.75,-111.25,2017,004,   -5.62
41.75,-110.75,2017,004,   -6.01
42.25,-115.25,2017,004,   -8.13
42.25,-114.75,2017,004,   -8.63
42.25,-114.25,2017,004,   -9.51
42.25,-113.75,2017,004,  -10.47
42.25,-113.25,2017,004,  -10.37
42.25,-112.75,2017,004,   -9.39
42.25,-112.25,2017,004,   -7.85
42.25,-111.75,2017,004,   -7.39
42.25,-111.25,2017,004,   -8.03
42.25,-110.75,2017,004,   -9.06
42.75,-115.25,2017,004,   -7.80
42.75,-114.75,2017,004,   -8.45
42.75,-114.25,2017,004,   -9.56
42.75,-113.75,2017,004,  -10.66
42.75,-113.25,2017,004,  -11.41
42.75,-112.75,2017,004,  -11.31
42.75,-112.25,2017,004,  -10.30
42.75,-111.75,2017,004,   -9.88
42.75,-111.25,2017,004,  -10.23
42.75,-110.75,2017,004,  -11.64
43.25,-115.25,2017,004,   -8.63
43.25,-114.75,2017,004,   -9.93
43.25,-114.25,2017,004,  -10.92
43.25,-113.75,2017,004,  -11.95
43.25,-113.25,2017,004,  -12.39
43.25,-112.75,2017,004,  -12.61
43.25,-112.25,2017,004,  -11.94
43.25,-111.75,2017,004,  -11.67
43.25,-111.25,2017,004,  -12.12
43.25,-110.75,2017,004,  -13.53
43.75,-115.25,2017,004,  -12.39
43.75,-114.75,2017,004,  -14.55
43.75,-114.25,2017,004,  -15.73
43.75,-113.75,2017,004,  -16.56
43.75,-113.25,2017,004,  -15.99
43.75,-112.75,2017,004,  -15.01
43.75,-112.25,2017,004,  -13.79
43.75,-111.75,2017,004,  -13.66
43.75,-111.25,2017,004,  -14.23
43.75,-110.75,2017,004,  -15.60
44.25,-115.25,2017,004,  -16.23
44.25,-114.75,2017,004,  -18.40
44.25,-114.25,2017,004,  -19.51
44.25,-113.75,2017,004,  -20.23
44.25,-113.25,2017,004,  -20.41
44.25,-112.75,2017,004,  -19.22
44.25,-112.25,2017,004,  -17.60
44.25,-111.75,2017,004,  -17.13
44.25,-111.25,2017,004,  -17.51
44.25,-110.75,2017,004,  -18.79
44.75,-115.25,2017,004,  -19.44
44.75,-114.75,2017,004,  -20.35
44.75,-114.25,2017,004,  -20.66
44.75,-113.75,2017,004,  -21.38
44.75,-113.25,2017,004,  -22.60
44.75,-112.75,2017,004,  -22.64
44.75,-112.25,2017,004,  -21.84
44.75,-111.75,2017,004,  -21.59
44.75,-111.25,2017,004,  -21.86
44.75,-110.75,2017,004,  -22.37
45.25,-115.25,2017,004,  -20.97
45.25,-114.75,2017,004,  -21.58
45.25,-114.25,2017,004,  -21.92
45.25,-113.75,2017,004,  -22.64
45.25,-113.25,2017,004,  -23.48
45.25,-112.75,2017,004,  -23.56
45.25,-112.25,2017,004,  -23.06
45.25,-111.75,2017,004,  -23.06
45.25,-111.25,2017,004,  -23.38
45.25,-110.75,2017,004,  -23.64
45.75,-115.25,2017,004,  -21.39
45.75,-114.75,2017,004,  -22.64
45.75,-114.25,2017,004,  -23.57
45.75,-113.75,2017,004,  -24.20
45.75,-113.25,2017,004,  -24.33
45.75,-112.75,2017,004,  -23.87
