-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
41.75,-119.75,2017,001,   -7.80
41.75,-119.25,2017,001,   -8.68
41.75,-118.75,2017,001,   -9.09
41.75,-118.25,2017,001,   -9.84
41.75,-117.75,2017,001,  -10.33
41.75,-117.25,2017,001,  -10.61
41.75,-116.75,2017,001,  -10.86
41.75,-116.25,2017,001,  -11.48
41.75,-115.75,2017,001,  -12.05
41.75,-115.25,2017,001,  -12.33
42.25,-119.75,2017,001,   -8.35
42.25,-119.25,2017,001,   -9.21
42.25,-118.75,2017,001,   -9.80
42.25,-118.25,2017,001,   -9.92
42.25,-117.75,2017,001,   -9.89
42.25,-117.25,2017,001,  -10.30
42.25,-116.75,2017,001,  -11.05
42.25,-116.25,2017,001,  -11.35
42.25,-115.75,2017,001,  -10.51
42.25,-115.25,2017,001,  -10.56
42.75,-119.75,2017,001,   -7.76
42.75,-119.25,2017,001,   -8.66
42.75,-118.75,2017,001,   -9.47
42.75,-118.25,2017,001,   -9.43
42.75,-117.75,2017,001,   -9.31
42.75,-117.25,2017,001,   -9.75
42.75,-116.75,2017,001,  -10.55
42.75,-116.25,2017,001,  -10.65
42.75,-115.75,2017,001,  -10.46
42.75,-115.25,2017,001,  -10.81
43.25,-119.75,2017,001,   -7.57
43.25,-119.25,2017,001,   -8.45
43.25,-118.75,2017,001,   -9.17
43.25,-118.25,2017,001,   -9.74
43.25,-117.75,2017,001,   -9.80
43.25,-117.25,2017,001,   -9.62
43.25,-116.75,2017,001,   -9.70
43.25,-116.25,2017,001,  -10.73
