-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2017 through 12/31/2017 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
32.75,-115.25,2017,001,   11.35
32.75,-114.75,2017,001,   11.33
32.75,-114.25,2017,001,   11.16
32.75,-113.75,2017,001,   11.12
32.75,-113.25,2017,001,   11.24
32.75,-112.75,2017,001,   10.27
32.75,-112.25,2017,001,    9.80
32.75,-111.75,2017,001,    9.62
32.75,-111.25,2017,001,    8.54
32.75,-110.75,2017,001,    6.21
33.25,-115.25,2017,001,   10.43
33.25,-114.75,2017,001,   10.58
33.25,-114.25,2017,001,   10.69
33.25,-113.75,2017,001,   10.59
33.25,-113.25,2017,001,   11.33
33.25,-112.75,2017,001,   11.14
33.25,-112.25,2017,001,   10.71
33.25,-111.75,2017,001,    9.83
33.25,-111.25,2017,001,    7.97
33.25,-110.75,2017,001,    6.06
33.75,-115.25,2017,001,    9.46
33.75,-114.75,2017,001,   10.21
33.75,-114.25,2017,001,   10.36
33.75,-113.75,2017,001,    9.58
33.75,-113.25,2017,001,    9.86
33.75,-112.75,2017,001,    9.83
33.75,-112.25,2017,001,    9.46
33.75,-111.75,2017,001,    8.32
33.75,-111.25,2017,001,    6.21
33.75,-110.75,2017,001,    4.64
34.25,-115.25,2017,001,    9.02
34.25,-114.75,2017,001,    9.74
34.25,-114.25,2017,001,   10.28
34.25,-113.75,2017,001,    9.30
34.25,-113.25,2017,001,    8.29
34.25,-112.75,2017,001,    7.14
34.25,-112.25,2017,001,    6.57
34.25,-111.75,2017,001,    5.84
34.25,-111.25,2017,001,    3.26
34.25,-110.75,2017,001,    2.71
34.75,-115.25,2017,001,    7.84
34.75,-114.75,2017,001,    8.78
34.75,-114.25,2017,001,    9.51
34.75,-113.75,2017,001,    8.12
34.75,-113.25,2017,001,    6.53
34.75,-112.75,2017,001,    5.14
34.75,-112.25,2017,001,    4.31
34.75,-111.75,2017,001,    3.47
34.75,-111.25,2017,001,    1.52
34.75,-110.75,2017,001,    2.30
35.25,-115.25,2017,001,    6.37
35.25,-114.75,2017,001,    7.61
35.25,-114.25,2017,001,    8.23
35.25,-113.75,2017,001,    6.53
35.25,-113.25,2017,001,    4.88
35.25,-112.75,2017,001,    3.88
35.25,-112.25,2017,001,    2.67
35.25,-111.75,2017,001,    1.59
35.25,-111.25,2017,001,    2.34
35.25,-110.75,2017,001,    2.73
35.75,-115.25,2017,001,    6.14
35.75,-114.75,2017,001,    7.46
