collision_date,collisions
2001-01-01,21
2001-01-02,23
2001-01-03,27
2001-01-04,33
2001-01-05,35
2001-01-06,28
2001-01-07,23
2001-01-08,19
2001-01-09,29
2001-01-10,19
2001-01-11,20
2001-01-12,22
2001-01-13,26
2001-01-14,14
2001-01-15,28
2001-01-16,19
2001-01-17,26
2001-01-18,35
2001-01-19,30
2001-01-20,24
2001-01-21,21
2001-01-22,35
2001-01-23,30
2001-01-24,15
2001-01-25,34
2001-01-26,26
2001-01-27,28
2001-01-28,15
2001-01-29,24
2001-01-30,40
2001-01-31,29
2001-02-01,36
2001-02-02,37
2001-02-03,41
2001-02-04,33
2001-02-05,46
2001-02-06,32
2001-02-07,28
2001-02-08,23
2001-02-09,20
2001-02-10,18
2001-02-11,16
2001-02-12,15
2001-02-13,28
2001-02-14,32
2001-02-15,30
2001-02-16,43
2001-02-17,14
2001-02-18,15
2001-02-19,27
2001-02-20,26
2001-02-21,29
2001-02-22,14
2001-02-23,14
2001-02-24,17
2001-02-25,17
2001-02-26,25
2001-02-27,28
2001-02-28,26
2001-03-01,34
2001-03-02,29
2001-03-03,25
2001-03-04,4
2001-03-05,21
2001-03-06,24
2001-03-07,34
2001-03-08,29
2001-03-09,28
2001-03-10,21
2001-03-11,20
2001-03-12,28
2001-03-13,47
2001-03-14,42
2001-03-15,37
2001-03-16,28
2001-03-17,37
2001-03-18,32
2001-03-19,50
2001-03-20,46
2001-03-21,39
2001-03-22,39
2001-03-23,28
2001-03-24,29
2001-03-25,16
2001-03-26,38
2001-03-27,39
2001-03-28,41
2001-03-29,50
2001-03-30,42
2001-03-31,35
2001-04-01,29
2001-04-02,39
2001-04-03,33
2001-04-04,40
2001-04-05,37
2001-04-06,30
2001-04-07,21
2001-04-08,18
2001-04-09,31
2001-04-10,56
2001-04-11,34
2001-04-12,28
2001-04-13,43
2001-04-14,26
2001-04-15,29
2001-04-16,35
2001-04-17,45
2001-04-18,22
2001-04-19,32
2001-04-20,22
2001-04-21,26
2001-04-22,34
2001-04-23,50
2001-04-24,53
2001-04-25,31
2001-04-26,50
2001-04-27,37
2001-04-28,36
2001-04-29,31
2001-04-30,44
2001-05-01,45
2001-05-02,40
2001-05-03,33
2001-05-04,48
2001-05-05,46
2001-05-06,32
2001-05-07,49
2001-05-08,52
2001-05-09,35
2001-05-10,37
2001-05-11,37
2001-05-12,36
2001-05-13,28
2001-05-14,30
2001-05-15,54
