,T2M,collisions
0,10.1,21
1,12.37,23
2,13.17,27
3,13.19,33
4,11.83,35
5,11.69,28
6,11.49,23
7,8.0,19
8,6.98,29
9,7.18,19
10,6.21,20
11,6.43,22
12,6.23,26
13,5.81,14
14,4.28,28
15,2.7,19
16,3.55,26
17,5.76,35
18,7.38,30
19,10.07,24
20,10.95,21
21,10.85,35
22,9.84,30
23,5.29,15
24,5.16,34
25,3.92,26
26,4.28,28
27,5.55,15
28,5.4,24
29,5.63,40
30,6.45,29
31,8.19,36
32,9.34,37
33,12.48,41
34,14.79,33
35,13.98,46
36,8.74,32
37,4.49,28
38,4.78,23
39,5.49,20
40,4.62,18
41,4.11,16
42,4.03,15
43,5.7,28
44,5.62,32
45,6.52,30
46,8.59,43
47,10.24,14
48,9.23,15
49,7.97,27
50,7.89,26
51,9.04,29
52,7.6,14
53,5.88,14
54,4.57,17
55,8.41,17
56,8.05,25
57,9.92,28
58,8.05,26
59,9.04,34
60,7.58,29
61,8.11,25
62,9.72,4
63,11.03,21
64,11.71,24
65,12.17,34
66,11.38,29
67,8.45,28
68,8.46,21
69,9.02,20
70,10.13,28
71,11.87,47
72,12.74,42
73,11.06,37
74,10.86,28
75,13.02,37
76,15.91,32
77,19.06,50
78,19.6,46
79,17.88,39
80,15.71,39
81,15.97,28
82,16.15,29
83,14.83,16
84,13.6,38
85,15.08,39
86,16.44,41
87,16.22,50
88,17.36,42
89,18.54,35
90,15.55,29
91,9.79,39
92,7.68,33
93,9.18,40
94,9.81,37
95,9.33,30
96,5.9,21
97,6.31,18
98,6.91,31
99,9.4,56
100,9.73,34
101,10.5,28
102,10.45,43
103,11.4,26
104,14.16,29
105,15.5,35
106,16.35,45
107,16.43,22
108,10.7,32
109,8.14,22
110,8.95,26
111,12.86,34
112,16.0,50
113,20.14,53
114,23.09,31
115,21.24,50
116,18.02,37
117,14.56,36
118,15.58,31
119,19.38,44
120,19.65,45
121,17.35,40
122,17.49,33
123,19.27,48
124,20.52,46
125,21.91,32
126,24.96,49
127,27.17,52
128,26.23,35
129,25.08,37
130,26.09,37
131,21.83,36
132,20.14,28
133,20.22,30
134,22.86,54
135,22.27,48
136,22.61,57
137,23.1,45
138,25.51,30
139,26.02,26
140,27.88,36
141,28.86,40
142,28.54,48
143,28.07,48
144,27.09,31
145,25.58,25
146,22.95,32
147,20.44,47
148,23.31,58
149,29.16,30
150,32.77,40
151,28.62,45
152,22.19,36
153,19.97,30
154,21.65,43
155,23.02,42
156,25.71,39
157,28.22,53
158,28.63,61
159,25.06,29
160,23.97,33
161,22.58,39
162,22.25,55
163,23.4,58
164,26.72,71
165,28.77,54
166,29.52,36
167,28.45,25
168,28.99,44
169,30.41,43
170,30.96,41
171,31.92,41
172,32.17,37
173,29.18,38
174,25.47,36
175,23.29,53
176,24.34,55
177,25.19,40
178,25.54,49
179,27.23,56
180,29.74,35
181,30.96,29
182,33.7,52
183,36.61,39
184,33.15,48
185,33.17,36
186,26.93,57
187,29.24,31
188,29.46,23
189,28.42,50
190,27.37,53
191,25.64,47
192,24.95,47
193,26.47,46
194,25.81,37
195,23.54,37
196,22.02,42
197,23.41,41
198,25.08,49
199,25.22,45
200,24.09,38
201,23.53,38
202,25.21,26
203,26.05,40
204,28.03,40
205,28.45,49
206,29.17,35
207,30.82,51
208,30.12,33
209,27.94,30
210,24.01,37
211,25.03,46
212,27.38,54
213,28.7,42
214,27.28,51
215,25.55,38
216,27.01,26
217,29.17,52
218,32.25,41
219,33.11,33
220,30.54,41
221,28.11,39
222,27.79,35
223,27.38,34
224,25.98,43
225,27.7,52
226,28.79,49
227,30.19,50
228,30.83,26
229,30.12,34
230,29.36,28
231,26.15,49
232,23.34,34
233,22.72,36
234,23.58,36
235,25.5,47
236,27.68,33
237,29.49,33
238,29.73,35
239,30.12,35
240,26.18,47
241,23.94,38
242,25.12,38
243,26.4,40
244,28.17,27
245,28.76,27
246,28.82,45
247,26.64,49
248,23.47,38
249,25.27,51
250,24.64,25
251,24.58,18
252,24.05,47
253,24.31,48
254,23.3,46
255,23.39,41
256,25.45,41
257,25.33,39
258,23.25,32
259,22.54,46
260,24.73,43
261,25.09,39
262,25.39,36
263,24.43,43
264,25.04,29
265,25.78,16
266,24.75,41
267,22.82,50
268,23.03,53
269,23.36,51
270,21.35,54
271,23.21,42
272,28.98,35
273,29.21,40
274,27.85,48
275,27.33,48
276,23.27,41
277,19.92,42
278,18.34,39
279,19.1,17
280,18.74,28
281,18.62,53
282,19.88,44
283,20.24,44
284,20.67,48
285,22.01,40
286,23.51,33
287,24.32,49
288,23.6,51
289,20.7,54
290,20.32,59
291,21.3,58
292,20.58,36
293,19.04,25
294,16.0,45
295,17.57,45
296,17.57,43
297,20.25,42
298,21.43,32
299,18.9,29
300,16.82,31
301,17.06,31
302,15.2,26
303,15.18,40
304,15.32,30
305,15.56,41
306,17.22,37
307,18.44,22
308,17.89,46
309,16.67,32
310,14.41,41
311,17.87,41
312,18.45,32
313,17.04,30
314,16.24,12
315,13.34,22
316,11.65,41
317,13.19,53
318,14.13,45
319,15.26,21
320,14.93,32
321,13.96,20
322,15.06,22
323,14.84,33
324,14.54,24
325,11.96,14
326,10.45,19
327,9.47,12
328,6.74,14
329,5.96,23
330,5.34,32
331,6.95,25
332,7.14,24
333,7.66,43
334,7.12,20
335,8.59,14
336,6.41,25
337,5.12,36
338,6.52,28
339,9.32,36
340,10.18,39
341,11.83,23
342,6.0,24
343,4.59,27
344,4.84,33
345,6.49,36
346,6.85,31
347,5.27,26
348,3.14,29
349,6.49,16
350,7.63,21
351,7.69,28
352,7.94,24
353,7.63,26
354,7.32,33
355,6.58,14
356,7.31,13
357,7.56,13
