,collision_date,LON,LAT,point,closest,T2M
0,2017-08-31,-119.5,36.5,"(36.5, -119.5)","(36.25, -119.75)",33.74
1,2017-02-20,-118.0,33.5,"(33.5, -118.0)","(33.25, -118.25)",14.52
2,2017-04-23,-119.0,35.5,"(35.5, -119.0)","(35.25, -119.25)",14.89
3,2017-05-23,-118.0,33.5,"(33.5, -118.0)","(33.25, -118.25)",16.42
4,2017-07-12,-122.5,39.0,"(39.0, -122.5)","(38.75, -122.75)",21.98
5,2017-03-09,-124.0,41.0,"(41.0, -124.0)","(40.75, -124.25)",11.13
6,2017-01-05,-124.0,40.5,"(40.5, -124.0)","(40.25, -124.25)",4.86
7,2017-05-05,-117.5,33.0,"(33.0, -117.5)","(32.75, -117.75)",15.07
8,2017-05-16,-117.0,34.0,"(34.0, -117.0)","(33.75, -117.25)",12.18
9,2017-06-03,-118.0,33.5,"(33.5, -118.0)","(33.25, -118.25)",15.38
10,2017-06-26,-124.0,41.0,"(41.0, -124.0)","(40.75, -124.25)",14.47
11,2017-08-30,-118.0,34.0,"(34.0, -118.0)","(33.75, -118.25)",26.61
12,2017-09-12,-121.5,39.5,"(39.5, -121.5)","(39.25, -121.75)",28.84
13,2017-09-23,-122.0,38.5,"(38.5, -122.0)","(38.25, -122.25)",17.59
14,2017-09-15,-122.5,38.0,"(38.0, -122.5)","(37.75, -122.75)",16.4
15,2017-03-23,-121.5,37.0,"(37.0, -121.5)","(36.75, -121.75)",10.72
16,2017-09-14,-121.0,38.5,"(38.5, -121.0)","(38.25, -121.25)",20.44
17,2017-07-25,-119.5,36.5,"(36.5, -119.5)","(36.25, -119.75)",28.86
18,2017-10-10,-119.0,34.0,"(34.0, -119.0)","(33.75, -119.25)",19.23
19,2017-04-26,-117.5,33.5,"(33.5, -117.5)","(33.25, -117.75)",17.29
20,2017-06-07,-116.5,34.0,"(34.0, -116.5)","(33.75, -116.75)",21.95
21,2017-07-21,-118.0,33.5,"(33.5, -118.0)","(33.25, -118.25)",19.26
22,2017-07-25,-119.0,34.0,"(34.0, -119.0)","(33.75, -119.25)",18.73
23,2017-08-11,-117.5,34.0,"(34.0, -117.5)","(33.75, -117.75)",24.84
24,2017-01-11,-122.0,38.0,"(38.0, -122.0)","(37.75, -122.25)",9.68
25,2017-01-18,-118.0,34.0,"(34.0, -118.0)","(33.75, -118.25)",11.68
26,2017-04-04,-121.5,38.0,"(38.0, -121.5)","(37.75, -121.75)",12.7
27,2017-05-16,-118.0,34.0,"(34.0, -118.0)","(33.75, -118.25)",14.18
28,2017-07-04,-117.5,34.0,"(34.0, -117.5)","(33.75, -117.75)",24.25
29,2017-07-30,-117.0,34.5,"(34.5, -117.0)","(34.25, -117.25)",27.8
30,2017-08-20,-121.5,38.0,"(38.0, -121.5)","(37.75, -121.75)",20.64
31,2017-08-25,-117.5,34.0,"(34.0, -117.5)","(33.75, -117.75)",22.16
32,2017-09-07,-117.0,34.0,"(34.0, -117.0)","(33.75, -117.25)",25.59
33,2017-09-07,-116.5,34.0,"(34.0, -116.5)","(33.75, -116.75)",26.98
34,2017-09-25,-118.0,33.5,"(33.5, -118.0)","(33.25, -118.25)",21.21
35,2017-09-25,-121.5,38.0,"(38.0, -121.5)","(37.75, -121.75)",20.08
36,2017-10-02,-116.5,34.0,"(34.0, -116.5)","(33.75, -116.75)",17.4
37,2017-10-05,-122.5,38.0,"(38.0, -122.5)","(37.75, -122.75)",15.41
38,2017-10-13,-117.0,33.0,"(33.0, -117.0)","(32.75, -117.25)",18.01
39,2017-10-24,-121.5,38.0,"(38.0, -121.5)","(37.75, -121.75)",22.34
40,2017-10-27,-117.0,33.5,"(33.5, -117.0)","(33.25, -117.25)",23.04
41,2017-10-31,-117.0,33.5,"(33.5, -117.0)","(33.25, -117.25)",16.06
42,2017-11-22,-122.5,37.5,"(37.5, -122.5)","(37.25, -122.75)",16.01
43,2017-11-29,-119.5,34.5,"(34.5, -119.5)","(34.25, -119.75)",15.63
44,2017-12-11,-121.5,37.0,"(37.0, -121.5)","(36.75, -121.75)",13.44
45,2017-12-20,-121.5,37.0,"(37.0, -121.5)","(36.75, -121.75)",8.68
46,2017-05-12,-119.0,35.5,"(35.5, -119.0)","(35.25, -119.25)",14.33
47,2017-01-31,-117.5,33.5,"(33.5, -117.5)","(33.25, -117.75)",15.83
48,2017-03-07,-117.0,34.0,"(34.0, -117.0)","(33.75, -117.25)",12.67
49,2017-04-12,-117.0,34.0,"(34.0, -117.0)","(33.75, -117.25)",14.81
50,2017-09-18,-121.5,38.5,"(38.5, -121.5)","(38.25, -121.75)",19.95
51,2017-09-23,-118.0,34.0,"(34.0, -118.0)","(33.75, -118.25)",18.13
52,2017-09-29,-117.0,33.5,"(33.5, -117.0)","(33.25, -117.25)",23.35
53,2017-10-04,-117.0,33.5,"(33.5, -117.0)","(33.25, -117.25)",18.78
54,2017-10-18,-118.0,34.0,"(34.0, -118.0)","(33.75, -118.25)",22.14
55,2017-10-26,-117.5,34.0,"(34.0, -117.5)","(33.75, -117.75)",24.41
56,2017-08-14,-121.5,38.0,"(38.0, -121.5)","(37.75, -121.75)",16.98
57,2017-08-29,-117.0,33.0,"(33.0, -117.0)","(32.75, -117.25)",26.54
58,2017-09-09,-121.5,38.0,"(38.0, -121.5)","(37.75, -121.75)",22.97
59,2017-09-29,-122.0,38.5,"(38.5, -122.0)","(38.25, -122.25)",18.7
60,2017-10-01,-118.0,34.0,"(34.0, -118.0)","(33.75, -118.25)",18.99
61,2017-10-22,-117.5,34.0,"(34.0, -117.5)","(33.75, -117.75)",23.15
62,2017-01-17,-118.0,33.5,"(33.5, -118.0)","(33.25, -118.25)",14.06
63,2017-05-06,-122.0,37.5,"(37.5, -122.0)","(37.25, -122.25)",10.75
