tothrs	age	Female
40	60	0
45	62	1
40	64	1
34	42	1
10	42	0
35	41	0
24	18	1
37	55	1
21	41	1
70	38	0
14	64	0
40	54	1
40	31	1
30	38	1
40	52	1
0	61	0
17	38	0
32	54	1
40	16	1
44	31	1
37	22	1
42	24	1
30	53	0
30	46	0
37	27	0
38	63	0
5	17	0
44	30	0
40	29	1
31	31	0
30	53	0
40	15	0
40	30	1
38	40	1
36	59	1
72	34	1
16	41	0
19	54	0
21	24	0
36	46	1
20	21	0
38	39	0
52	55	0
47	15	0
28	45	0
16	53	0
0	64	1
39	42	1
20	45	0
50	48	0
14	17	1
40	29	0
20	43	0
30	35	1
22	55	0
45	46	1
40	33	0
0	43	0
37	36	0
0	37	1
39	30	0
38	52	1
42	58	0
47	53	0
35	23	1
40	35	0
58	38	1
40	53	0
50	50	0
0	50	1
44	52	0
4	19	1
18	56	1
18	43	1
38	29	1
43	36	1
30	50	1
0	41	1
50	22	0
45	35	1
38	29	1
30	37	1
16	28	1
73	20	1
37	45	0
15	38	1
34	41	1
35	54	1
0	28	0
18	46	0
26	48	1
0	36	0
65	47	1
10	40	1
38	25	0
16	23	1
26	55	1
21	53	1
40	20	1
40	46	0
39	61	0
5	34	1
45	37	0
6	18	1
0	32	1
23	27	1
37	32	1
46	52	1
21	30	1
49	44	1
38	24	0
50	32	0
45	38	1
40	28	0
2	45	0
52	48	1
55	41	1
51	41	0
13	45	0
11	31	1
12	15	1
70	42	0
0	53	0
35	59	1
7	44	1
18	39	1
45	41	1
22	64	0
38	42	1
42	43	1
35	68	1
38	53	1
4	59	1
0	29	1
40	41	1
35	28	0
25	29	1
42	44	1
25	49	0
46	57	1
38	58	1
50	56	1
52	58	1
32	46	1
16	22	1
39	36	0
0	41	1
28	52	0
25	24	1
0	48	1
48	47	1
36	26	0
60	63	1
50	22	0
37	22	0
35	33	0
38	31	0
0	29	0
30	54	1
40	42	0
38	28	0
40	69	0
0	41	0
60	47	1
28	45	0
0	37	1
37	20	0
35	53	0
40	36	0
32	50	1
47	58	0
44	34	1
38	28	1
32	34	1
3	45	0
45	29	1
37	31	0
48	27	1
24	69	0
48	22	1
38	47	0
9	62	1
40	36	0
38	44	1
0	36	1
40	37	0
35	26	1
35	44	1
50	66	1
20	59	0
36	28	1
37	22	1
40	45	1
39	33	0
50	50	1
40	23	0
32	51	1
50	45	1
25	55	1
60	45	0
0	26	1
38	33	1
38	55	1
40	34	0
21	52	1
75	62	1
12	15	1
42	33	1
23	51	0
40	44	1
12	24	0
0	54	1
25	37	1
50	62	1
50	63	1
0	45	0
38	40	1
60	63	1
15	27	1
46	30	0
37	49	1
38	20	1
16	42	1
34	49	1
40	24	1
38	52	1
60	62	0
45	22	0
28	54	1
35	53	0
37	48	1
36	58	0
0	39	1
5	54	1
0	28	0
20	39	1
50	25	0
70	53	1
45	58	0
37	41	0
17	34	0
32	18	0
42	38	1
49	58	0
70	55	1
36	42	1
0	65	1
13	20	1
28	39	0
35	60	1
38	43	1
50	46	1
60	38	1
45	41	0
40	47	0
37	34	1
42	43	1
40	45	1
40	36	1
58	63	1
0	37	0
25	63	1
2	45	0
42	62	1
37	54	0
0	52	0
60	44	1
35	22	1
66	16	0
30	63	1
37	50	0
6	54	1
50	46	1
45	23	0
28	25	0
24	22	0
44	52	1
15	62	0
60	41	0
30	35	1
40	51	1
38	30	0
40	26	0
45	46	1
40	47	1
36	44	0
0	47	0
12	61	0
40	24	0
34	42	1
38	36	1
50	55	1
16	36	0
40	52	0
38	49	1
8	15	0
0	65	1
55	46	1
49	49	1
52	56	0
16	46	0
25	35	1
20	19	0
48	38	1
40	48	1
40	49	1
60	29	1
6	18	0
0	54	1
35	58	1
38	38	1
0	19	0
55	52	1
8	19	1
16	45	1
29	41	1
40	28	1
0	67	1
39	59	1
44	27	0
38	35	1
41	18	1
37	23	1
48	41	1
16	26	1
38	49	1
38	36	0
52	36	1
37	34	1
80	32	1
37	36	0
27	53	1
66	40	1
37	59	1
4	61	1
38	38	1
17	33	1
27	52	0
38	15	0
32	28	1
40	28	1
37	24	1
24	56	1
50	50	1
40	33	0
0	59	1
16	26	0
12	32	1
38	50	1
20	23	1
45	45	0
10	24	1
18	47	1
20	54	1
8	30	1
32	30	0
59	37	1
42	28	1
40	27	0
21	20	1
24	40	0
42	48	0
38	59	0
45	36	1
60	54	1
25	53	1
50	38	0
22	31	0
34	39	1
37	39	1
40	38	1
0	16	0
70	49	0
25	18	1
40	64	0
66	40	1
30	41	0
33	34	1
30	23	1
33	66	0
36	53	0
40	45	0
28	41	1
28	57	1
50	50	1
25	27	1
39	40	1
40	42	1
52	48	0
30	61	1
5	15	0
39	36	0
35	39	1
50	36	0
59	63	0
1	29	1
42	50	1
0	38	0
38	44	1
25	43	1
42	50	0
40	30	0
40	39	0
0	50	0
15	42	0
50	43	0
50	40	0
40	46	0
40	39	1
50	33	1
40	33	0
21	61	1
35	57	0
45	41	1
20	48	1
27	20	0
10	61	0
45	52	0
65	47	0
20	21	0
47	40	0
38	26	1
78	46	1
39	40	0
40	28	0
30	32	1
50	48	1
38	30	1
0	47	0
68	28	0
37	30	0
36	51	0
40	54	1
60	35	1
38	56	0
49	33	0
20	45	0
0	25	1
38	37	1
32	26	1
35	41	1
3	66	0
30	34	1
38	36	1
22	58	1
18	59	1
54	50	1
40	36	0
36	55	1
48	46	1
16	33	1
46	40	0
54	24	0
16	38	1
58	49	1
16	30	1
48	51	1
14	64	0
22	53	1
45	50	0
18	49	1
11	37	0
16	49	0
44	37	0
0	55	1
40	28	1
28	68	1
16	42	0
38	56	0
41	60	0
52	39	1
44	61	1
32	63	0
36	30	1
50	21	0
40	20	1
38	21	1
22	44	0
31	34	0
50	52	0
40	32	0
18	64	0
74	56	1
7	17	1
30	45	1
32	48	1
45	30	1
38	39	0
14	27	1
42	53	1
34	52	1
7	20	1
39	55	1
35	59	1
45	47	0
14	35	1
28	28	1
42	30	0
18	69	0
3	65	0
38	61	1
5	64	1
12	16	1
0	50	0
38	35	0
37	31	1
38	39	1
0	27	1
20	26	1
25	40	0
50	55	0
43	23	0
22	34	1
43	38	1
0	44	1
24	50	1
38	56	1
46	51	1
53	42	0
24	48	1
40	51	0
37	50	0
16	63	1
15	37	1
0	59	1
32	34	0
0	43	1
55	49	0
39	48	0
0	50	0
20	35	0
47	49	0
22	50	0
46	51	1
38	51	0
35	44	1
20	53	1
53	58	1
10	38	0
50	52	1
40	33	0
46	31	1
38	17	1
38	45	1
20	54	0
22	39	1
0	17	0
35	49	0
18	45	0
42	50	0
40	59	0
48	35	0
38	25	1
0	30	0
45	34	1
38	55	1
36	32	1
38	26	1
37	26	1
0	26	0
42	40	1
38	15	0
